ts,open,high,low,close,volume
2026-06-26 21:55:00+00:00,4089.69,4089.69,4088.68,4088.79,12.12
2026-06-26 22:00:00+00:00,4088.79,4089.8,4088.79,4089.59,16.2
2026-06-26 22:05:00+00:00,4089.59,4089.73,4089.32,4089.35,2.96
2026-06-26 22:10:00+00:00,4089.35,4089.43,4087.97,4088.98,6.28
2026-06-26 22:15:00+00:00,4088.98,4088.98,4088.22,4088.98,12.42
2026-06-26 22:20:00+00:00,4088.98,4088.98,4088.36,4088.36,0.26
2026-06-26 22:25:00+00:00,4088.36,4088.98,4088.36,4088.98,0.63
2026-06-26 22:30:00+00:00,4088.98,4088.98,4088.39,4088.39,0.18
2026-06-26 22:35:00+00:00,4088.39,4089.89,4088.39,4089.85,4.52
2026-06-26 22:40:00+00:00,4089.85,4090.6,4089.79,4090.44,10.69
2026-06-26 22:45:00+00:00,4090.44,4091.74,4090.44,4090.94,48.36
2026-06-26 22:50:00+00:00,4090.94,4091.49,4090.7,4090.96,9.39
2026-06-26 22:55:00+00:00,4090.96,4090.97,4090.71,4090.72,2.35
2026-06-26 23:00:00+00:00,4090.72,4091.37,4090.72,4090.98,13.18
2026-06-26 23:05:00+00:00,4090.98,4090.98,4090.69,4090.89,2.44
2026-06-26 23:10:00+00:00,4090.89,4091.68,4090.89,4091.41,1.75
2026-06-26 23:15:00+00:00,4091.41,4091.41,4091.22,4091.22,5.85
2026-06-26 23:20:00+00:00,4091.22,4092.94,4091.2,4092.93,17.58
2026-06-26 23:25:00+00:00,4092.93,4092.94,4092.52,4092.74,47.92
2026-06-26 23:30:00+00:00,4092.74,4092.96,4092.16,4092.16,0.89
2026-06-26 23:35:00+00:00,4092.16,4092.16,4091.54,4091.89,10.47
2026-06-26 23:40:00+00:00,4091.89,4091.9,4090.74,4091.11,9.84
2026-06-26 23:45:00+00:00,4091.11,4091.65,4091.11,4091.65,15.67
2026-06-26 23:50:00+00:00,4091.65,4092.97,4091.53,4091.94,29.08
2026-06-26 23:55:00+00:00,4091.94,4092.14,4091.71,4091.71,0.47
2026-06-27 00:00:00+00:00,4091.71,4092.85,4091.53,4092.14,2.76
2026-06-27 00:05:00+00:00,4092.14,4092.98,4091.67,4091.9,46.88
2026-06-27 00:10:00+00:00,4091.9,4092.45,4091.46,4091.46,43.11
2026-06-27 00:15:00+00:00,4091.46,4091.55,4090.94,4090.94,21.1
2026-06-27 00:20:00+00:00,4090.94,4091.14,4089.21,4089.59,14.28
2026-06-27 00:25:00+00:00,4089.59,4089.59,4088.18,4088.5,25.49
2026-06-27 00:30:00+00:00,4088.5,4089.15,4088.28,4088.89,9.18
2026-06-27 00:35:00+00:00,4088.89,4088.89,4087.97,4088.55,3.57
2026-06-27 00:40:00+00:00,4088.55,4088.55,4087.97,4088.06,3.93
2026-06-27 00:45:00+00:00,4088.06,4088.55,4088.06,4088.5,3.84
2026-06-27 00:50:00+00:00,4088.5,4088.61,4088.07,4088.5,2.63
2026-06-27 00:55:00+00:00,4088.5,4088.61,4088.5,4088.51,0.89
2026-06-27 01:00:00+00:00,4088.51,4088.59,4088.5,4088.59,22.05
2026-06-27 01:05:00+00:00,4088.59,4089.79,4088.59,4089.62,0.3
2026-06-27 01:10:00+00:00,4089.62,4090.42,4089.62,4090.42,5.03
2026-06-27 01:15:00+00:00,4090.42,4090.42,4090.18,4090.2,1.41
2026-06-27 01:20:00+00:00,4090.2,4090.94,4090.2,4090.94,1.01
2026-06-27 01:25:00+00:00,4090.94,4090.94,4090.57,4090.57,0.35
2026-06-27 01:30:00+00:00,4090.57,4090.85,4090.55,4090.56,3.18
2026-06-27 01:35:00+00:00,4090.56,4092.58,4090.56,4092.29,19.88
2026-06-27 01:40:00+00:00,4092.29,4093.32,4092.29,4092.62,13.67
2026-06-27 01:45:00+00:00,4092.62,4092.62,4091.55,4091.55,0.75
2026-06-27 01:50:00+00:00,4091.55,4091.55,4090.87,4091.13,11.81
2026-06-27 01:55:00+00:00,4091.13,4091.28,4090.59,4090.93,5.18
2026-06-27 02:00:00+00:00,4090.93,4090.93,4090.82,4090.82,0.69
2026-06-27 02:05:00+00:00,4090.82,4090.82,4090.6,4090.82,1.2
2026-06-27 02:10:00+00:00,4090.82,4090.82,4090.79,4090.79,0.56
2026-06-27 02:15:00+00:00,4090.79,4090.79,4090.6,4090.6,3.73
2026-06-27 02:20:00+00:00,4090.6,4091.27,4090.6,4091.16,7.29
2026-06-27 02:25:00+00:00,4091.16,4091.17,4091.16,4091.17,0.9
2026-06-27 02:30:00+00:00,4091.17,4091.17,4089.71,4089.93,6.74
2026-06-27 02:35:00+00:00,4089.93,4089.93,4089.93,4089.93,1.28
2026-06-27 02:40:00+00:00,4089.93,4089.93,4089.93,4089.93,3.17
2026-06-27 02:45:00+00:00,4089.93,4089.93,4089.71,4089.93,2.7
2026-06-27 02:50:00+00:00,4089.93,4089.93,4089.44,4089.72,1.53
2026-06-27 02:55:00+00:00,4089.72,4089.93,4089.72,4089.86,0.25
2026-06-27 03:00:00+00:00,4089.86,4091.33,4089.86,4091.08,13.73
2026-06-27 03:05:00+00:00,4091.08,4091.17,4091.08,4091.13,0.49
2026-06-27 03:10:00+00:00,4091.13,4091.13,4090.53,4090.78,6.31
2026-06-27 03:15:00+00:00,4090.78,4090.86,4090.61,4090.78,5.01
2026-06-27 03:20:00+00:00,4090.78,4091.0,4090.61,4090.61,0.66
2026-06-27 03:25:00+00:00,4090.61,4091.0,4090.61,4090.82,3.66
2026-06-27 03:30:00+00:00,4090.82,4091.66,4090.82,4091.66,2.43
2026-06-27 03:35:00+00:00,4091.66,4092.18,4091.65,4092.01,0.8
2026-06-27 03:40:00+00:00,4092.01,4092.01,4091.65,4091.89,3.86
2026-06-27 03:45:00+00:00,4091.89,4092.18,4091.89,4092.18,3.93
2026-06-27 03:50:00+00:00,4092.18,4092.18,4091.27,4091.3,16.5
2026-06-27 03:55:00+00:00,4091.3,4091.3,4090.78,4091.11,8.88
2026-06-27 04:00:00+00:00,4091.11,4091.11,4090.76,4090.76,3.4
2026-06-27 04:05:00+00:00,4090.76,4092.49,4090.76,4091.98,9.91
2026-06-27 04:10:00+00:00,4091.98,4092.0,4091.54,4091.83,2.58
2026-06-27 04:15:00+00:00,4091.83,4092.47,4091.83,4092.47,1.02
2026-06-27 04:20:00+00:00,4092.47,4092.47,4092.2,4092.45,5.64
2026-06-27 04:25:00+00:00,4092.45,4092.47,4091.98,4092.19,11.1
2026-06-27 04:30:00+00:00,4092.19,4092.8,4092.19,4092.8,11.41
2026-06-27 04:35:00+00:00,4092.8,4092.8,4091.59,4092.18,13.99
2026-06-27 04:40:00+00:00,4092.18,4092.18,4091.99,4091.99,2.1
2026-06-27 04:45:00+00:00,4091.99,4091.99,4090.68,4090.99,11.45
2026-06-27 04:50:00+00:00,4090.99,4091.09,4090.77,4090.9,6.63
2026-06-27 04:55:00+00:00,4090.9,4091.08,4088.64,4089.09,18.05
2026-06-27 05:00:00+00:00,4089.09,4089.24,4089.0,4089.0,5.34
2026-06-27 05:05:00+00:00,4089.0,4089.69,4089.0,4089.68,5.57
2026-06-27 05:10:00+00:00,4089.68,4089.69,4089.68,4089.69,0.18
2026-06-27 05:15:00+00:00,4089.69,4089.69,4089.45,4089.45,11.56
2026-06-27 05:20:00+00:00,4089.45,4089.46,4089.44,4089.44,0.99
2026-06-27 05:25:00+00:00,4089.44,4089.44,4088.42,4088.74,5.0
2026-06-27 05:30:00+00:00,4088.74,4088.77,4088.5,4088.5,4.21
2026-06-27 05:35:00+00:00,4088.5,4088.77,4088.5,4088.5,1.78
2026-06-27 05:40:00+00:00,4088.5,4088.77,4088.5,4088.51,3.66
2026-06-27 05:45:00+00:00,4088.51,4089.05,4088.51,4088.89,1.76
2026-06-27 05:50:00+00:00,4088.89,4088.9,4088.89,4088.89,0.69
2026-06-27 05:55:00+00:00,4088.89,4089.0,4088.74,4088.74,0.99
2026-06-27 06:00:00+00:00,4088.74,4088.74,4088.73,4088.74,0.11
2026-06-27 06:05:00+00:00,4088.74,4088.74,4088.53,4088.53,2.87
2026-06-27 06:10:00+00:00,4088.53,4088.72,4088.2,4088.44,2.89
2026-06-27 06:15:00+00:00,4088.44,4088.72,4088.44,4088.53,6.72
2026-06-27 06:20:00+00:00,4088.53,4088.72,4088.13,4088.72,6.04
2026-06-27 06:25:00+00:00,4088.72,4088.72,4088.3,4088.32,13.73
2026-06-27 06:30:00+00:00,4088.32,4089.8,4088.32,4089.49,18.24
2026-06-27 06:35:00+00:00,4089.49,4090.38,4089.02,4090.37,8.95
2026-06-27 06:40:00+00:00,4090.37,4091.61,4090.26,4090.26,6.48
2026-06-27 06:45:00+00:00,4090.26,4090.41,4090.25,4090.28,0.98
2026-06-27 06:50:00+00:00,4090.28,4090.48,4089.42,4089.42,2.75
2026-06-27 06:55:00+00:00,4089.42,4090.26,4089.42,4090.26,9.1
2026-06-27 07:00:00+00:00,4090.26,4090.68,4090.26,4090.68,10.15
2026-06-27 07:05:00+00:00,4090.68,4091.32,4090.68,4090.75,6.19
2026-06-27 07:10:00+00:00,4090.75,4091.04,4089.94,4090.65,15.3
2026-06-27 07:15:00+00:00,4090.65,4091.28,4090.65,4090.78,13.03
2026-06-27 07:20:00+00:00,4090.78,4091.7,4090.78,4091.7,4.44
2026-06-27 07:25:00+00:00,4091.7,4092.24,4091.7,4092.17,16.8
2026-06-27 07:30:00+00:00,4092.17,4092.31,4092.17,4092.3,4.26
2026-06-27 07:35:00+00:00,4092.3,4092.3,4091.31,4091.54,14.88
2026-06-27 07:40:00+00:00,4091.54,4091.54,4091.06,4091.29,5.99
2026-06-27 07:45:00+00:00,4091.29,4091.29,4090.25,4090.59,6.9
2026-06-27 07:50:00+00:00,4090.59,4091.05,4090.59,4091.03,6.24
2026-06-27 07:55:00+00:00,4091.03,4091.51,4091.03,4091.32,6.48
2026-06-27 08:00:00+00:00,4091.32,4091.65,4091.32,4091.65,7.53
2026-06-27 08:05:00+00:00,4091.65,4091.98,4091.51,4091.98,7.64
2026-06-27 08:10:00+00:00,4091.98,4092.18,4091.64,4091.73,32.02
2026-06-27 08:15:00+00:00,4091.73,4091.97,4091.73,4091.73,4.63
2026-06-27 08:20:00+00:00,4091.73,4091.74,4091.73,4091.73,1.42
2026-06-27 08:25:00+00:00,4091.73,4091.74,4091.73,4091.73,2.11
2026-06-27 08:30:00+00:00,4091.73,4091.73,4090.76,4090.93,39.48
2026-06-27 08:35:00+00:00,4090.93,4091.29,4090.93,4091.29,6.65
2026-06-27 08:40:00+00:00,4091.29,4091.74,4091.03,4091.46,37.73
2026-06-27 08:45:00+00:00,4091.46,4091.65,4091.3,4091.34,4.51
2026-06-27 08:50:00+00:00,4091.34,4091.9,4091.2,4091.49,16.02
2026-06-27 08:55:00+00:00,4091.49,4091.49,4090.76,4090.76,5.25
2026-06-27 09:00:00+00:00,4090.76,4091.0,4090.42,4090.77,14.06
2026-06-27 09:05:00+00:00,4090.77,4090.77,4090.62,4090.77,2.75
2026-06-27 09:10:00+00:00,4090.77,4090.77,4090.77,4090.77,0.33
2026-06-27 09:15:00+00:00,4090.77,4091.0,4090.26,4091.0,19.37
2026-06-27 09:20:00+00:00,4091.0,4091.0,4090.64,4090.64,2.01
2026-06-27 09:25:00+00:00,4090.64,4090.86,4090.64,4090.85,0.39
2026-06-27 09:30:00+00:00,4090.85,4090.86,4090.27,4090.27,2.97
2026-06-27 09:35:00+00:00,4090.27,4090.66,4090.27,4090.66,0.15
2026-06-27 09:40:00+00:00,4090.66,4090.66,4090.4,4090.65,0.8
2026-06-27 09:45:00+00:00,4090.65,4090.65,4090.41,4090.41,2.22
2026-06-27 09:50:00+00:00,4090.41,4090.42,4090.41,4090.42,0.27
2026-06-27 09:55:00+00:00,4090.42,4090.42,4090.42,4090.42,0.1
2026-06-27 10:00:00+00:00,4090.42,4091.17,4090.42,4091.01,11.14
2026-06-27 10:05:00+00:00,4091.01,4091.17,4090.52,4090.59,4.17
2026-06-27 10:10:00+00:00,4090.59,4090.83,4090.59,4090.83,0.84
2026-06-27 10:15:00+00:00,4090.83,4091.16,4090.83,4091.16,0.99
2026-06-27 10:20:00+00:00,4091.16,4091.46,4091.16,4091.46,0.06
2026-06-27 10:25:00+00:00,4091.46,4091.46,4091.17,4091.17,5.28
2026-06-27 10:30:00+00:00,4091.17,4091.18,4091.17,4091.18,0.68
2026-06-27 10:35:00+00:00,4091.18,4091.33,4091.02,4091.02,0.2
2026-06-27 10:40:00+00:00,4091.02,4091.48,4091.02,4091.48,2.49
2026-06-27 10:45:00+00:00,4091.48,4091.49,4091.48,4091.48,2.1
2026-06-27 10:50:00+00:00,4091.48,4091.49,4091.03,4091.49,20.36
2026-06-27 10:55:00+00:00,4091.49,4091.69,4091.34,4091.49,1.76
2026-06-27 11:00:00+00:00,4091.49,4091.97,4091.48,4091.97,1.68
2026-06-27 11:05:00+00:00,4091.97,4091.98,4091.66,4091.67,4.31
2026-06-27 11:10:00+00:00,4091.67,4091.67,4091.33,4091.33,3.37
2026-06-27 11:15:00+00:00,4091.33,4091.33,4089.87,4090.05,18.56
2026-06-27 11:20:00+00:00,4090.05,4090.05,4089.1,4089.67,23.79
2026-06-27 11:25:00+00:00,4089.67,4089.68,4089.67,4089.67,1.78
2026-06-27 11:30:00+00:00,4089.67,4089.68,4089.67,4089.67,5.09
2026-06-27 11:35:00+00:00,4089.67,4090.36,4089.67,4090.36,6.88
2026-06-27 11:40:00+00:00,4090.36,4090.81,4090.36,4090.69,20.05
2026-06-27 11:45:00+00:00,4090.69,4091.97,4090.57,4091.54,11.42
2026-06-27 11:50:00+00:00,4091.54,4091.66,4091.54,4091.66,0.34
2026-06-27 11:55:00+00:00,4091.66,4091.66,4091.33,4091.33,7.46
2026-06-27 12:00:00+00:00,4091.33,4091.53,4091.33,4091.53,5.44
2026-06-27 12:05:00+00:00,4091.53,4091.53,4091.53,4091.53,0.24
2026-06-27 12:10:00+00:00,4091.53,4091.53,4091.21,4091.22,4.06
2026-06-27 12:15:00+00:00,4091.22,4091.23,4090.82,4090.82,1.05
