open_ts,took_trade,or_high,or_low,or_range,trend_slope,session,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,gross_pnl,net_pnl,mae_price,mfe_price,mae_dollars,mfe_dollars,mae_price_distance,mfe_price_distance
2026-06-29 07:00:00+00:00,True,4081.10009765625,4070.699951171875,10.400146484375,1.6741407425570287,LON,1.0,2026-06-29 07:50:00+00:00,2026-06-29 08:40:00+00:00,4081.10009765625,4070.699951171875,4070.699951171875,4096.7003173828125,-1040.0146484375,-1059.0146484375,12.300048828125,2.099853515625,1230.0048828125,209.9853515625,,
2026-06-29 13:30:00+00:00,True,4058.800048828125,4042.199951171875,16.60009765625,-2.8102571439171697,NY,-1.0,2026-06-29 14:00:00+00:00,2026-06-29 14:15:00+00:00,4042.199951171875,4017.2998046875,4058.800048828125,4017.2998046875,2490.0146484375,2471.0146484375,,,740.0146484375,3019.9951171875,7.400146484375,30.199951171875
2026-06-29 23:00:00+00:00,True,4036.699951171875,4028.199951171875,8.5,-5.550903108957755,ASIA,-1.0,2026-06-29 23:40:00+00:00,2026-06-30 00:30:00+00:00,4028.199951171875,4015.449951171875,4036.699951171875,4015.449951171875,1275.0,1256.0,,,450.0,1400.0,4.5,14.0
2026-06-30 07:00:00+00:00,False,4048.699951171875,4037.5,11.199951171875,-5.898096379498384,LON,,,,,,,,,,,,,,,
2026-06-30 13:30:00+00:00,False,4047.0,4027.199951171875,19.800048828125,-0.1701559499442737,NY,,,,,,,,,,,,,,,
2026-06-30 23:00:00+00:00,True,4031.800048828125,4021.300048828125,10.5,-2.3857511593655545,ASIA,-1.0,2026-06-30 23:45:00+00:00,2026-07-01 01:00:00+00:00,4021.300048828125,4005.550048828125,4031.800048828125,4005.550048828125,1575.0,1556.0,,,189.990234375,1850.0,1.89990234375,18.5
2026-07-01 07:00:00+00:00,False,3986.699951171875,3973.0,13.699951171875,-8.248373663805069,LON,,,,,,,,,,,,,,,
2026-07-01 13:30:00+00:00,True,4122.60009765625,4055.300048828125,67.300048828125,3.032281899955251,NY,1.0,2026-07-01 14:30:00+00:00,2026-07-01 16:30:00+00:00,4122.60009765625,4090.60009765625,4055.300048828125,4223.5501708984375,-3200.0,-3219.0,,,3290.0146484375,839.990234375,32.900146484375,8.39990234375
2026-07-01 23:00:00+00:00,False,4057.10009765625,4046.10009765625,11.0,3.319499273465226,ASIA,,,,,,,,,,,,,,,
2026-07-02 07:00:00+00:00,False,4086.89990234375,4073.5,13.39990234375,6.596422374342637,LON,,,,,,,,,,,,,,,
2026-07-02 13:30:00+00:00,False,4157.10009765625,4122.60009765625,34.5,9.66431400136753,NY,,,,,,,,,,,,,,,
2026-07-02 23:00:00+00:00,True,4142.7001953125,4136.89990234375,5.80029296875,11.779769674071758,ASIA,1.0,2026-07-02 23:30:00+00:00,2026-07-02 23:35:00+00:00,4142.7001953125,4136.89990234375,4136.89990234375,4151.400634765625,-580.029296875,-599.029296875,,,850.0,639.990234375,8.5,6.39990234375
2026-07-05 22:00:00+00:00,True,4199.7001953125,4184.39990234375,15.30029296875,19.111621437806207,ASIA,1.0,2026-07-05 22:30:00+00:00,2026-07-06 00:00:00+00:00,4199.7001953125,4184.39990234375,4184.39990234375,4222.650634765625,-1530.029296875,-1554.029296875,,,1730.029296875,1439.990234375,17.30029296875,14.39990234375
2026-07-05 23:00:00+00:00,False,4214.10009765625,4187.2998046875,26.80029296875,19.74254590348073,ASIA,,,,,,,,,,,,,,,
2026-07-06 07:00:00+00:00,True,4187.2998046875,4158.7001953125,28.599609375,9.682141013669025,LON,1.0,2026-07-06 07:30:00+00:00,2026-07-06 08:45:00+00:00,4187.2998046875,4158.7001953125,4158.7001953125,4230.19921875,-2859.9609375,-2883.9609375,,,2919.970703125,0.0,29.19970703125,0.0
2026-07-06 13:30:00+00:00,False,4187.2998046875,4147.10009765625,40.19970703125,5.799539822170118,NY,,,,,,,,,,,,,,,
2026-07-06 23:00:00+00:00,False,4176.60009765625,4174.0,2.60009765625,7.155800391357843,ASIA,,,,,,,,,,,,,,,
2026-07-07 07:00:00+00:00,False,4143.39990234375,4135.7998046875,7.60009765625,-1.2383449103117528,LON,,,,,,,,,,,,,,,
2026-07-07 13:30:00+00:00,False,4192.39990234375,4167.2998046875,25.10009765625,3.5331295870928443,NY,,,,,,,,,,,,,,,
2026-07-07 23:00:00+00:00,True,4118.89990234375,4107.2998046875,11.60009765625,-5.369728468715948,ASIA,-1.0,2026-07-07 23:45:00+00:00,2026-07-08 00:30:00+00:00,4107.2998046875,4118.89990234375,4118.89990234375,4089.899658203125,-1160.009765625,-1184.009765625,,,1310.009765625,100.0,13.10009765625,1.0
2026-07-08 07:00:00+00:00,False,4135.7998046875,4125.39990234375,10.39990234375,-1.1293286600730426,LON,,,,,,,,,,,,,,,
2026-07-08 13:30:00+00:00,True,4091.5,4077.39990234375,14.10009765625,-11.935703906150591,NY,-1.0,2026-07-08 14:00:00+00:00,2026-07-08 14:35:00+00:00,4077.39990234375,4056.249755859375,4091.5,4056.249755859375,2115.0146484375,2091.0146484375,,,460.009765625,2450.0,4.60009765625,24.5
