event_ts,event_type,logged_at,status,pre_close,ev_open,ev_high,ev_low,ev_close,ev_range,pre_atr,ema_slope,trend_dir,status_detail,direction,entry_ts,entry_price,exit_ts,exit_price,stop_price,target_price,exit_reason,gross_pnl,net_pnl,mfe_dollars,mae_dollars,what_if_opp_dir_pnl
2023-01-06 13:30:00+00:00,JOBS,2026-06-19 19:26:19.390822+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2023-01-12 13:30:00+00:00,CPI,2026-06-19 19:26:19.391332+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2023-02-03 13:30:00+00:00,JOBS,2026-06-19 19:26:19.391868+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2023-02-13 13:30:00+00:00,CPI,2026-06-19 19:26:19.392380+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2023-03-03 13:30:00+00:00,JOBS,2026-06-19 19:26:19.392915+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2023-03-13 12:30:00+00:00,CPI,2026-06-19 19:26:19.393426+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2023-04-07 12:30:00+00:00,JOBS,2026-06-19 19:26:19.393974+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2023-04-13 12:30:00+00:00,CPI,2026-06-19 19:26:19.394486+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2023-05-05 12:30:00+00:00,JOBS,2026-06-19 19:26:19.395026+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2023-05-11 12:30:00+00:00,CPI,2026-06-19 19:26:19.395545+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2023-06-02 12:30:00+00:00,JOBS,2026-06-19 19:26:19.396097+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2023-06-13 12:30:00+00:00,CPI,2026-06-19 19:26:19.396613+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2023-07-07 12:30:00+00:00,JOBS,2026-06-19 19:26:19.397159+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2023-07-13 12:30:00+00:00,CPI,2026-06-19 19:26:19.397671+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2023-08-04 12:30:00+00:00,JOBS,2026-06-19 19:26:19.398226+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2023-08-11 12:30:00+00:00,CPI,2026-06-19 19:26:19.398739+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01 12:30:00+00:00,JOBS,2026-06-19 19:26:19.399327+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2023-09-13 12:30:00+00:00,CPI,2026-06-19 19:26:19.399844+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2023-10-06 12:30:00+00:00,JOBS,2026-06-19 19:26:19.400409+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2023-10-12 12:30:00+00:00,CPI,2026-06-19 19:26:19.400924+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2023-11-03 12:30:00+00:00,JOBS,2026-06-19 19:26:19.401457+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2023-11-13 13:30:00+00:00,CPI,2026-06-19 19:26:19.401981+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2023-12-01 13:30:00+00:00,JOBS,2026-06-19 19:26:19.402513+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
2023-12-13 13:30:00+00:00,CPI,2026-06-19 19:26:19.403023+00:00,no_bar,,,,,,,,,,,,,,,,,,,,,,,
