label,n,win_rate,mean_net_pnl,median_net_pnl,total_net_pnl,mean_gross_pnl,std_net_pnl,sharpe_per_trade,max_win,max_loss,profit_factor,bar_label
UNRATE|hold=1|z>=1.0,9,0.7777777777777778,345.9978298611111,476.0,3113.98046875,369.9978298611111,1616.9745859534921,3.3968037095922576,3105.98046875,-2054.0048828125,1.7847742693184505,1h
UNRATE|hold=2|z>=0.0,27,0.6666666666666666,532.2979239004629,695.9951171875,14372.0439453125,556.2979239004629,2878.589689625663,2.9354539866077634,7136.009765625,-5303.98046875,1.6405818323572898,1h
UNRATE|hold=2|z>=0.5,16,0.6875,575.3743896484375,320.9951171875,9205.990234375,599.3743896484375,2221.5137143403085,4.111514241677496,5605.98046875,-2383.9609375,2.064281734632187,1h
UNRATE|hold=2|z>=1.0,9,0.8888888888888888,960.4428168402778,695.9951171875,8643.9853515625,984.4428168402778,1658.313900143411,9.194011489518287,4005.98046875,-1524.0,6.671906398663058,1h
UNRATE|hold=3|z>=0.0,27,0.5555555555555556,430.07353153935185,506.0048828125,11611.9853515625,454.07353153935185,2908.55996470997,2.3472803526082,6265.990234375,-4924.0,1.4798740549205556,1h
UNRATE|hold=3|z>=0.5,16,0.5,459.74786376953125,5.99267578125,7355.9658203125,483.74786376953125,2423.4688017249346,3.0114978475355887,5676.0,-3283.9609375,1.7361855304556144,1h
UNRATE|hold=3|z>=1.0,9,0.6666666666666666,1019.3295355902778,535.9853515625,9173.9658203125,1043.3295355902778,1786.0993656878163,9.059604992882175,4465.990234375,-734.009765625,7.23231373662534,1h
UNRATE|hold=4|z>=0.0,27,0.6296296296296297,530.0717230902778,226.0,14311.9365234375,554.0717230902778,3138.9753670514474,2.6806925043984586,7685.9609375,-4674.0,1.5750080579236707,1h
UNRATE|hold=4|z>=0.5,16,0.625,542.24755859375,120.9951171875,8675.9609375,566.24755859375,2906.241726087599,2.9618710161504533,7685.9609375,-3483.9609375,1.7601160547576813,1h
UNRATE|hold=4|z>=1.0,9,0.7777777777777778,1078.218967013889,576.0,9703.970703125,1102.218967013889,2032.80122027557,8.420004525198943,5226.0,-1194.01953125,6.615707918215382,1h
CPI|hold=1|z>=0.0,18,0.5,-270.1107042100682,-18.9951171875,-4861.992675781227,-246.11070421006818,1436.8468632997074,-2.984225117025441,2495.9951171875,-3703.98046875,0.5919782061894554,1h
CPI|hold=1|z>=0.5,18,0.5,-270.1107042100682,-18.9951171875,-4861.992675781227,-246.11070421006818,1436.8468632997074,-2.984225117025441,2495.9951171875,-3703.98046875,0.5919782061894554,1h
CPI|hold=1|z>=1.0,15,0.5333333333333333,-105.3330078125,106.0048828125,-1579.9951171875,-81.3330078125,1414.130947705507,-1.1824291546853334,2495.9951171875,-3703.98046875,0.8051316893597397,1h
CPI|hold=2|z>=0.0,18,0.4444444444444444,-461.21720377604044,-284.009765625,-8301.909667968728,-437.2172037760404,1909.2610495791707,-3.8347800218675223,2476.0,-5613.990234375,0.5110758334772355,1h
CPI|hold=2|z>=0.5,18,0.4444444444444444,-461.21720377604044,-284.009765625,-8301.909667968728,-437.2172037760404,1909.2610495791707,-3.8347800218675223,2476.0,-5613.990234375,0.5110758334772355,1h
CPI|hold=2|z>=1.0,15,0.4666666666666667,-411.9947916666667,-274.0,-6179.921875,-387.9947916666667,2033.8267540552854,-3.2157186191904206,2476.0,-5613.990234375,0.5605215844262756,1h
CPI|hold=3|z>=0.0,18,0.4444444444444444,-575.1094835069445,-624.0,-10351.970703125,-551.1094835069445,2015.8146629427126,-4.5289778806537635,2226.0,-6074.0,0.45573248971772884,1h
CPI|hold=3|z>=0.5,18,0.4444444444444444,-575.1094835069445,-624.0,-10351.970703125,-551.1094835069445,2015.8146629427126,-4.5289778806537635,2226.0,-6074.0,0.45573248971772884,1h
CPI|hold=3|z>=1.0,15,0.4666666666666667,-579.33203125,-484.009765625,-8689.98046875,-555.33203125,2161.1862559532547,-4.255353217241318,2226.0,-6074.0,0.468892368778329,1h
CPI|hold=4|z>=0.0,18,0.3888888888888889,-816.2214084201377,-448.98779296875,-14691.985351562478,-792.2214084201377,2407.2448972882676,-5.382548814736476,2545.9951171875,-7074.0,0.35854035907191767,1h
CPI|hold=4|z>=0.5,18,0.3888888888888889,-816.2214084201377,-448.98779296875,-14691.985351562478,-792.2214084201377,2407.2448972882676,-5.382548814736476,2545.9951171875,-7074.0,0.35854035907191767,1h
CPI|hold=4|z>=1.0,15,0.4,-850.6650390625,-303.98046875,-12759.9755859375,-826.6650390625,2587.172647781478,-5.2195545843599644,2545.9951171875,-7074.0,0.3586656558102679,1h
PPI|hold=1|z>=0.0,29,0.6551724137931034,350.48141163793105,376.0,10163.9609375,374.48141163793105,1775.074269439325,3.134358951541957,5455.98046875,-4533.9853515625,1.8303906217899133,1h
PPI|hold=1|z>=0.5,19,0.6842105263157895,680.2094983552631,376.0,12923.98046875,704.2094983552631,1800.9464704161505,5.995731250100412,5455.98046875,-1633.9609375,3.1670093821852774,1h
