report_date,m_money_positions_long_all,m_money_positions_short_all,open_interest_all,mm_net_long
2025-08-19,173388,36003,438541,137385
2025-08-26,175494,33577,443760,141917
2025-09-02,196127,34625,492908,161502
2025-09-09,198907,35388,509625,163519
2025-09-16,195347,36376,516221,158971
2025-09-23,198826,38277,528789,160549
2025-09-30,184199,38972,493748,145227
2025-10-07,170587,40828,485559,129759
2025-10-14,152187,43877,485788,108310
2025-10-21,135503,43276,472421,92227
2025-10-28,138605,34446,457122,104159
2025-11-04,130688,30143,450399,100545
2025-11-10,134155,30068,459997,104087
2025-11-18,130222,32017,471953,98205
2025-11-25,136979,27670,432946,109309
2025-12-02,140143,19819,418490,120324
2025-12-09,143383,19835,432569,123548
2025-12-16,152873,20277,471093,132596
2025-12-23,160581,24311,492103,136270
2025-12-30,148642,22602,481866,126040
2026-01-06,146445,23232,488116,123213
2026-01-13,158825,24080,527455,134745
2026-01-20,163668,26224,528004,137444
2026-01-27,143321,25162,488463,118159
2026-02-03,118936,26864,409694,92072
2026-02-10,119232,27210,404391,92022
2026-02-17,123011,27118,407078,95893
2026-02-24,121233,25259,420182,95974
2026-03-03,123456,25539,409789,97917
2026-03-10,125077,26678,413956,98399
2026-03-17,130147,28104,411388,102043
2026-03-24,119562,27941,403925,91621
2026-03-31,120092,27278,361409,92814
2026-04-07,120726,30694,354877,90032
2026-04-14,125422,30281,362274,95141
2026-04-21,123681,30705,365842,92976
2026-04-28,122257,32505,369530,89752
2026-05-05,123353,29099,367932,94254
2026-05-12,127242,29227,376496,98015
2026-05-19,122894,29354,379325,93540
2026-05-26,124277,26831,353489,97446
2026-06-02,129367,17188,326052,112179
2026-06-09,126280,20417,332709,105863
2026-06-16,128043,14322,339330,113721
2026-06-23,131102,15707,352167,115395
2026-06-30,134577,14486,369541,120091
2026-07-07,134941,18780,371776,116161
